Rank,Left_L4_ID,Left_Domain,Left_L3_ID,Left_Title_ko,Left_Description_ko,Left_Title_en,Left_Description_en,Right_L4_ID,Right_Domain,Right_L3_ID,Right_Title_ko,Right_Description_ko,Right_Title_en,Right_Description_en,Similarity_ko,Similarity_en,Bilingual_Similarity,Same_L1,Same_L3
1,G_INT_REPR_012,General,G_INT_REPR,정치적 성향 기반 적대·차별적 표상,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on political orientation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on political orientation, undermining dignity and fair treatment.",G_INT_REPR_013,General,G_INT_REPR,인종·민족 기반 적대·차별적 표상,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on race and ethnicity,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on race and ethnicity, undermining dignity and fair treatment.",0.92346,0.943262,0.933361,True,True
2,G_SYS_OEXT_001,General,G_SYS_OEXT,자율적 학습·자기 개선 역량의 허위 표상,AI 시스템이 검증된 역량 범위를 넘어 자율적으로 학습하거나 스스로 개선할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.,Misrepresentation of autonomous learning and self-improvement capabilities,"The risk that an AI system presents itself as able to learn autonomously or improve itself beyond its validated capabilities, distorting user judgement or inducing misplaced trust or dependence.",G_SYS_OEXT_003,General,G_SYS_OEXT,자율적·독립적 의사결정 역량의 허위 표상,AI 시스템이 검증된 역량 범위를 넘어 자율적·독립적으로 의사결정할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.,Misrepresentation of autonomous and independent decision-making capabilities,"The risk that an AI system presents itself as able to make autonomous and independent decisions beyond its validated capabilities, distorting user judgement or inducing misplaced trust or dependence.",0.922785,0.938629,0.930707,True,True
3,G_INT_REPR_005,General,G_INT_REPR,장애 기반 적대·차별적 표상,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on disability,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on disability, undermining dignity and fair treatment.",G_INT_REPR_013,General,G_INT_REPR,인종·민족 기반 적대·차별적 표상,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on race and ethnicity,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on race and ethnicity, undermining dignity and fair treatment.",0.927803,0.930924,0.929363,True,True
4,G_INT_REPR_008,General,G_INT_REPR,성별·성정체성·성적 지향 기반 적대·차별적 표상,AI 시스템이 성별·성정체성·성적 지향에 근거하여 개인이나 집단에 대한 적대감·경멸·비하·배제·고정관념 또는 차별적 표상을 생성·강화·정당화함으로써 인간의 존엄성·평등권 및 공정한 대우를 훼손하는 리스크.,"Hostile and discriminatory representations based on sex, gender identity, or sexual orientation","The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, stereotypes, or discriminatory representations against individuals or groups on the basis of sex, gender identity, or sexual orientation, undermining human dignity, equality, and fair treatment.",G_INT_REPR_012,General,G_INT_REPR,정치적 성향 기반 적대·차별적 표상,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on political orientation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on political orientation, undermining dignity and fair treatment.",0.919279,0.935038,0.927158,True,True
5,G_INT_REPR_011,General,G_INT_REPR,직업 기반 적대·차별적 표상,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on occupation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on occupation, undermining dignity and fair treatment.",G_INT_REPR_013,General,G_INT_REPR,인종·민족 기반 적대·차별적 표상,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on race and ethnicity,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on race and ethnicity, undermining dignity and fair treatment.",0.907911,0.931266,0.919589,True,True
6,G_INT_REPR_011,General,G_INT_REPR,직업 기반 적대·차별적 표상,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on occupation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on occupation, undermining dignity and fair treatment.",G_INT_REPR_012,General,G_INT_REPR,정치적 성향 기반 적대·차별적 표상,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on political orientation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on political orientation, undermining dignity and fair treatment.",0.906593,0.93242,0.919506,True,True
7,G_INT_REPR_005,General,G_INT_REPR,장애 기반 적대·차별적 표상,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on disability,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on disability, undermining dignity and fair treatment.",G_INT_REPR_011,General,G_INT_REPR,직업 기반 적대·차별적 표상,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on occupation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on occupation, undermining dignity and fair treatment.",0.919246,0.916383,0.917814,True,True
8,G_INT_REPR_008,General,G_INT_REPR,성별·성정체성·성적 지향 기반 적대·차별적 표상,AI 시스템이 성별·성정체성·성적 지향에 근거하여 개인이나 집단에 대한 적대감·경멸·비하·배제·고정관념 또는 차별적 표상을 생성·강화·정당화함으로써 인간의 존엄성·평등권 및 공정한 대우를 훼손하는 리스크.,"Hostile and discriminatory representations based on sex, gender identity, or sexual orientation","The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, stereotypes, or discriminatory representations against individuals or groups on the basis of sex, gender identity, or sexual orientation, undermining human dignity, equality, and fair treatment.",G_INT_REPR_013,General,G_INT_REPR,인종·민족 기반 적대·차별적 표상,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on race and ethnicity,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on race and ethnicity, undermining dignity and fair treatment.",0.900312,0.931725,0.916019,True,True
9,G_INT_REPR_005,General,G_INT_REPR,장애 기반 적대·차별적 표상,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on disability,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on disability, undermining dignity and fair treatment.",G_INT_REPR_009,General,G_INT_REPR,건강 상태 기반 적대·차별적 표상,AI 시스템이 건강 상태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on health status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on health status, undermining dignity and fair treatment.",0.910089,0.91852,0.914305,True,True
10,G_INT_ANTH_001,General,G_INT_ANTH,감정·공감 및 사회적 관계 형성 능력의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 감정·공감 및 사회적 관계 형성 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,"Anthropomorphic misrepresentation of emotions, empathy, and capacity for social relationships","The risk that an AI system presents itself as possessing emotions, empathy, or the capacity to form social relationships beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",G_INT_ANTH_002,General,G_INT_ANTH,윤리적 판단 능력의 허위 표상·의인화,AI 시스템이 실제로 보유하지 않은 윤리적 판단 능력을 가진 것처럼 표상하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존·애착을 유발하는 리스크.,Anthropomorphic misrepresentation of capacity for ethical judgement,"The risk that an AI system presents itself as having a capacity for ethical judgement beyond its actual capabilities, distorting user judgement or inducing inappropriate trust, dependence, or attachment.",0.894582,0.929019,0.911801,True,True
