l4_id,label_ko,old_l3,new_l3,scope,method
RAI4-0800,맞춤형 정보 제공에 의한 정보 고치 심화,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-2123,AI 기반 대규모 심리 조작,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0160,AI 대화의 고통 증폭,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0658,의사결정 위임을 통한 은밀한 영향력 행사,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1914,AI 어시스턴트에 의한 비투명한 집단 신념 변화,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0599,사회적 통제 상실 시나리오,RAI3-G-SOC-09,RAI3-A-SOC-09,A,keyword_heuristic
RAI4-1105,유해 AI 경험에 따른 신뢰·수용 저하,RAI3-G-SOC-07,RAI3-G-SOC-07,G,keyword_heuristic
RAI4-1421,AI를 통한 민주적 절차 훼손,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-2125,취약 이용자의 신뢰 악용,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-2126,미성년자의 AI 의존·설득 취약성,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1186,취약한 AI 알고리즘 악용,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1715,AI 시스템에 기인한 인권·시민권 침해,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1014,규정 위반,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-0535,국제법적 규율 곤란,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-1339,글로벌 AI 공급망 교란,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0568,데이터 수집 제한,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0499,AI 공급자 종속,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-0763,네트워크 상호 연결로 인한 위험,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0731,공통 AI 플랫폼 집중에 따른 단일 장애점,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-1005,저성능 시스템 상호작용에 의한 자기소외,RAI3-G-SOC-11,RAI3-A-SOC-11,A,keyword_heuristic
RAI4-0159,AI 동반자에 의한 외로움 대체,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1328,소외로 인한 피해,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0388,AI에 의한 문화적 인식론 말살,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0845,침식된 인식론,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0383,AI를 매개로 한 디지털 식민주의,RAI3-G-SOC-04,RAI3-G-SOC-04,G,keyword_heuristic
RAI4-2128,대규모 영향력 작전에 의한 인식 왜곡,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0369,윤리적 동질화,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1002,본질주의적 범주의 실체화,RAI3-G-SOC-11,RAI3-P-SOC-11,P,keyword_heuristic
RAI4-1395,내재된 가치에 의한 이념적 동질화,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-0900,알고리즘 시스템에 의한 행위주체성 상실,RAI3-G-SOC-11,RAI3-A-SOC-11,A,keyword_heuristic
RAI4-0997,사회 집단 고정관념화,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-0999,사회 집단 삭제,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1000,사회 집단 정체성 불인정으로 인한 소외,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-1003,기회 손실,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2129,AI에 의한 인구 규모 차별의 체계적 증폭,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0424,차별적 영향,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-1503,내재 가치 평가 편향,RAI3-G-SOC-05,RAI3-G-SOC-05,G,keyword_heuristic
RAI4-2130,AI에 의한 문화·규범적 가치 왜곡 표현,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-2132,종교 전통의 과소대표와 왜곡,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
RAI4-0895,문화적 안정성 훼손,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-1232,산업 교란,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-1257,문화·공급망·권력 구조의 교란,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-1937,AI 도입에 의한 노동력 교란,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-2002,창작 경제 훼손,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-0982,AI의 인간 추월로 인한 노동력 퇴출,RAI3-G-SOC-02,RAI3-A-SOC-02,A,keyword_heuristic
RAI4-0995,자동화에 의한 일자리 소멸,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-1249,인간의 쇠약화,RAI3-G-SOC-02,RAI3-G-SOC-02,G,keyword_heuristic
RAI4-1302,인간 멸종 위험,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-2134,AI 위임에 따른 인간 역량 탈숙련화,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0096,위험 소유권의 모호성,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2136,AI 과의존에 의한 판단 자율성 침식,RAI3-G-SOC-08,RAI3-A-SOC-08,A,keyword_heuristic
RAI4-2027,AI에 대한 정서적·물질적 의존 형성,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-2137,체화형 AI에 대한 애착 의존 형성,RAI3-G-SOC-08,RAI3-P-SOC-08,P,keyword_heuristic
RAI4-0152,고인 모사 챗봇 의존,RAI3-G-SOC-08,RAI3-A-SOC-08,A,keyword_heuristic
RAI4-1261,인간-AI 공존 실패,RAI3-G-SOC-09,RAI3-P-SOC-09,P,keyword_heuristic
RAI4-1263,직장 내 부적응적 인간-AI 상호작용,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0150,AI 에이전트와의 준사회적 유대감,RAI3-G-SOC-08,RAI3-A-SOC-08,A,keyword_heuristic
RAI4-0869,인간관계의 저하,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-0872,대인관계 연결의 침식,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1986,인간-AI 상호작용 창발 피해,RAI3-G-SOC-08,RAI3-G-SOC-08,G,keyword_heuristic
RAI4-1286,미지 출처에서 획득한 비우호적 AI,RAI3-G-SOC-10,RAI3-G-SOC-10,G,keyword_heuristic
RAI4-2141,AI에 대한 구조적 의존 심화,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-1097,자율 시스템에 대한 통제 상실,RAI3-G-SOC-07,RAI3-A-SOC-07,A,keyword_heuristic
RAI4-1585,유해 작업 자동화에 의한 피해 규모 증폭,RAI3-G-SOC-09,RAI3-G-SOC-09,G,keyword_heuristic
RAI4-2030,AI에 기인한 명예·평판 훼손,RAI3-G-SOC-11,RAI3-G-SOC-11,G,keyword_heuristic
