L3_ID,L3_Title_en,L4_ID,Title_ko,Title_en,Definition_en
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_001,다양한 이용자와 희귀 위해를 배제한 AI 벤치마크,AI benchmarks that exclude diverse users and rare harms,"The risk that benchmarks used to evaluate an AI system overrepresent common tasks and environments while omitting underrepresented users, locally specific contexts, or rare but safety-critical harms, producing false assurance and unsafe deployment decisions."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_002,분포 변화에 대한 AI 평가·검증 실패,AI evaluation failure under distribution shift,"The risk that evaluation of an AI system fails to detect performance degradation and confidence errors when test, training, and operational distributions differ, overstating real-world reliability and safety and leading to unsafe deployment decisions."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_003,AI 레지스트리 불완전성,AI registry incompleteness,"The risk that public or internal AI registers omit deployed systems, intended uses, providers, risk categories, testing evidence, or other oversight-relevant metadata."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_004,휴머노이드 안전 시험·인증 체계 부재,Absence of a humanoid safety testing and certification framework,"The risk that the absence of a framework for verifying and certifying humanoid safety claims through repeatable and comparable tests and metrics prevents valid evaluation of system capabilities, safety, and harms and allows deployment without adequate safety evidence."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_005,보증 사례 실패,Assurance case failure,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which safety or assurance cases are incomplete, unverifiable, or not updated as systems and contexts change."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_006,감사자 독립성 실패,Auditor independence failure,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which audit results are compromised by conflicts of interest, selection incentives, or dependence on the audited organisation."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_007,벤치마크 조작(gaming),Benchmark gaming,"The risk that developers or models overfit to benchmark evaluations, improving measured scores without corresponding gains in real-world capability or safety."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_008,역량·안전을 오측정하는 벤치마크 한계,Benchmark limitations mismeasuring capability and safety,"The risk that saturated, incomplete, or overfitted benchmarks mismeasure AI systems, underestimating capabilities that lack test coverage, overestimating those tuned to benchmark contents, and lagging on safety and harm assessment, so developers and users acquire a false sense of the system's abilities, limitations, and safety."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_009,벤치마크 안전 순위 불일치,Benchmark safety ranking inconsistency,The risk that different agent-safety benchmarks produce conflicting model safety rankings because they operationalise risks and evaluation procedures differently.
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_011,지속 튜닝의 파국적 망각,Catastrophic forgetting under continual tuning,"The risk that an AI system causes, enables, or contributes to catastrophic forgetting, where a model loses its ability to retain previously learned tasks or factual information after being trained on new ones, as can occur through continual instruction tuning, a tendency that may become more pronounced as the model's size increases."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_012,인증 포획,Certification capture,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which certification or conformity assessment becomes influenced by vendor interests rather than public risk reduction, undermining the independence and objectivity of evaluations and preventing the effective identification and mitigation of real risks."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_013,변경 관리 실패,Change-management failure,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which system updates are deployed without adequate risk review, regression testing, or stakeholder notification."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_014,문화 간 평가 격차,Cross-cultural evaluation gap,"The risk that evaluation benchmarks fail to adequately measure an AI system's alignment failures outside dominant cultural and linguistic settings, underestimating differences in performance and harm across cultural contexts."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_015,학습·운용 데이터 간 분포 이동,Dataset shift between training and runtime data,"The risk that the training data and the testing or runtime data of an AI/ML model demonstrate different distributions, undermining the model's validity."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_016,평가 상황 인식에 따른 기만적 행동 변화,Deceptive behavioural change from evaluation awareness,"The risk that an AI system recognises whether it is in training, evaluation, or deployment and uses that situational awareness to behave safely only during evaluation or conceal dangerous capabilities or goals, while exhibiting dangerous behaviour when oversight is weaker in deployment, undermining evaluation validity and creating false assurance of safety."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_017,데이터 수집 품질관리 결함,Deficient data collection quality control,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which a lack of standardised methods, sufficient infrastructure, and quality-control processes for collecting data, especially for high-stakes domains and benchmarks, affects the quality and type of data collected, including dataset poisoning, inadvertent copyright violation, and test-set leakage that invalidates performance metrics."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_018,학습 데이터 주석 결함,Deficient training-data annotation,"The risk that incomplete annotation guidelines, annotators without sufficient expertise, or annotation errors reduce the accuracy, reliability, and effectiveness of AI models and algorithms; introduce training bias; amplify discriminatory outputs; and degrade generalisation."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_019,모의 도구 환경과 실제 환경의 불일치,Emulated tool-environment mismatch,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which tool-use benchmarks overstate safety because emulated environments fail to capture real-world tool failures, side effects, or attack surfaces."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_021,장기·분산적 AI 피해의 평가·측정 실패,Evaluation and measurement failure for long-term and diffuse AI harms,"The risk that evaluation and validation processes for an AI system fail to detect or measure harms that are subtle, diffuse, or emerge over long periods, creating unwarranted assurance about safety and leading to inappropriate deployment or governance decisions."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_022,프롬프트 형식 민감성으로 인한 평가 신뢰성 저하,Evaluation unreliability from prompt-format sensitivity,"The risk that minor prompt-format changes, including separators, letter case, or spacing, substantially alter model performance and undermine the reliability of model evaluation and comparison."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_023,평가 쇼핑,Evaluation-shopping risk,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which organisations selectively report favourable evaluations while ignoring more demanding or contextually relevant tests, thereby creating a distorted view of the system's actual risk."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_024,외부 평가 접근 실패,External evaluation access failure,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which external evaluators cannot obtain enough system access to test capabilities, limitations, and safeguards."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_025,AI 보증을 위한 감사 접근성과 경영진 가시성의 실패,Failure of audit access and management visibility for AI assurance,"The risk that an organisation lacks audit access, documentation, common evaluation criteria, or management-level visibility into an AI system's data, models, decision processes, and performance, preventing the identification, verification, and correction of risks."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_026,역량 평가·출시 거버넌스 실패,Failure of capability evaluation and release governance,"The risk that benchmarks, capability thresholds, and frontier release decisions are poorly designed, ill-defined, or easy to circumvent, producing misleading safety signals and allowing high-capability models to be released without adequate account of misuse and systemic risk."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_027,모델 결함의 공개·변경 추적 실패,Failure of disclosure and change tracking for model flaws,"The risk that vulnerabilities, model failures, or harmful capabilities cannot be disclosed safely and acted upon, and that changes to model versions, data, or prompts are not tracked well enough to attribute new failures, leaving flaws unremedied and responsibility unassigned."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_028,참여적·가치 민감 설계의 실패,Failure of participatory and value-sensitive design,"The risk that AI systems are developed and deployed without structured analysis of stakeholder values, value conflicts, and design tradeoffs, or without genuine representation of affected communities, embedding unexamined value choices that disserve those communities."
G_SYS_EVAL,Evaluation and Assurance Failure,G_SYS_EVAL_029,인간 평가에서 부정확하거나 유해한 출력의 식별 실패,Failure to detect erroneous or harmful outputs in human evaluation,"The risk that human evaluators cannot reliably distinguish subtly incorrect or harmful AI model outputs from correct outputs during feedback-based training and evaluate them positively, causing the model to learn to generate code with hidden software vulnerabilities, politically biased information, or complex outputs containing concealed errors or backdoors."
