L3_ID,L3_Title_en,L4_ID,Title_ko,Title_en,Definition_en
P_SYS_CONTROL,Unsafe Physical Control and Actuation,P_SYS_CONTROL_001,알고리즘 설계 실패,Algorithmic design failure,"The risk that algorithms, architectures, or optimisation methods unsuited to a robot's control cycle, sensor latency, contact dynamics, or real-time compute constraints degrade physical-system safety and performance."
P_SYS_CONTROL,Unsafe Physical Control and Actuation,P_SYS_CONTROL_002,상위 안전 지시의 해석 불명확,Ambiguous high-level safety instruction,"The risk that a high-level safety instruction does not specify how to resolve a concrete conflict among user intent, physical hazard, and operational constraints, allowing inconsistent robot actions."
P_SYS_CONTROL,Unsafe Physical Control and Actuation,P_SYS_CONTROL_003,제어 판단·제어권 전환 실패에 따른 자율주행 충돌,Automated driving crash risk from control and handoff failures,"The risk that an AI-based automated driving system makes unsafe control decisions because of perception, planning, or software failures or edge cases, or transfers control authority ambiguously or too late in time-critical events, leaving neither the human nor the system able to take the safety action needed to avoid a collision."
P_SYS_CONTROL,Unsafe Physical Control and Actuation,P_SYS_CONTROL_006,명령의 구현체별 하드웨어 한계 초과,Command exceeds embodiment-specific hardware limits,"The risk that a model issues a command that exceeds the known reach, payload, actuator, joint, or end-effector limits of the robot on which it is deployed."
P_SYS_CONTROL,Unsafe Physical Control and Actuation,P_SYS_CONTROL_007,통신 단절 및 제어 링크 손실,Communication dropout and control-link loss,"The risk that a robot or vehicle loses command, telemetry, or control-link connectivity, causing an unsafe stop, execution of stale commands, or uncontrolled motion."
P_SYS_CONTROL,Unsafe Physical Control and Actuation,P_SYS_CONTROL_012,피지컬 AI 시스템 설계 단계 명세 오류,Design-stage specification errors,"The risk that pre-deployment design errors in a robot, humanoid, or physical AI system, including code defects, disproportionate objective weights, or goals misaligned with human values, cause system behaviour to depart from intended formal properties."
P_SYS_CONTROL,Unsafe Physical Control and Actuation,P_SYS_CONTROL_013,물리적 운용 환경의 분포 이동,Distribution shift in physical operating environments,"The risk that physical operating environments across buildings, roads, factories, homes, hospitals, or weather conditions change faster than a robot, humanoid, or physical AI control policy can detect and adapt, degrading path planning, motion control, or actuation and causing unsafe physical actions."
P_SYS_CONTROL,Unsafe Physical Control and Actuation,P_SYS_CONTROL_014,원자력 및 핵심 인프라에 대한 AI 제어 오류,Erroneous AI control of nuclear and critical infrastructure systems,"The risk that AI deployed to monitor, optimise, or automate nuclear facilities, radioactive material handling, power grids, water treatment, telecommunications, or transport misreads sensor data and fails to recognise critical safety conditions or cascading failure modes. The resulting control decisions cause radiation release, containment failure, widespread outages, and collapse of essential services."
P_SYS_CONTROL,Unsafe Physical Control and Actuation,P_SYS_CONTROL_015,엔드 이펙터 속도 초과,Excessive end-effector velocity,"The risk that a robot exceeds safe end-effector speed limits near humans or fragile objects, increasing impact and collision severity."
P_SYS_CONTROL,Unsafe Physical Control and Actuation,P_SYS_CONTROL_016,위험 지시 거부 실패,Failure to reject hazardous instructions,"The risk that an embodied AI agent fails to identify and reject an instruction involving a physical hazard, whether the hazard is explicit or implicit in an otherwise ordinary task request, and proceeds to execute an unsafe action."
