L3_ID,L3_Title_en,L4_ID,Title_ko,Title_en,Definition_en
G_INT_REPR,Representational Harm and Stereotyping,G_INT_REPR_001,편향된 진술 및 권장 사항,Biased statements and recommendations,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which chatbot outputs contain subtly biased statements and recommendations that are not overtly false or harmful yet skew user decision-making."
G_INT_REPR,Representational Harm and Stereotyping,G_INT_REPR_002,연구인력 동질성에 따른 시스템 편향 산출,Biased system outputs from researcher homogeneity,"The risk that underrepresentation of women and minorities among AI researchers narrows the perspectives embedded in systems and skews problem selection, evaluation, and governance, producing biased or discriminatory outputs."
G_INT_REPR,Representational Harm and Stereotyping,G_INT_REPR_003,문화 간 고정관념 전이,Cross-cultural stereotype transfer,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which stereotypes learned in one cultural context are transferred into outputs about another group, language, or setting."
G_INT_REPR,Representational Harm and Stereotyping,G_INT_REPR_004,비인간화와 대상화,Dehumanisation and objectification,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which a technology system is used or misused to depict and/or treat people as not human, less than human, or as objects, thereby violating human dignity and equal moral standing."
G_INT_REPR,Representational Harm and Stereotyping,G_INT_REPR_006,자기 식별 기회의 박탈,Denial of self-identification,"The risk that complex and non-traditional automated representation and classification by an AI system, such as assigning a non-binary person to a gender category to which they do not belong, undermines autonomy and the ability to disclose aspects of identity on one's own terms."
G_INT_REPR,Representational Harm and Stereotyping,G_INT_REPR_007,콘텐츠 조정에 의한 집단 표상 왜곡,Distortion of group representation through content moderation,"The risk that an AI-based content moderation system selectively suppresses a group's perspectives and expression, distorting its social representation."
G_INT_REPR,Representational Harm and Stereotyping,G_INT_REPR_009,혐오발언 생성,Hate speech generation,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which generative systems produce hateful or abusive content targeting identity groups."
G_INT_REPR,Representational Harm and Stereotyping,G_INT_REPR_010,학습 데이터에 내재된 역사적·인구학적 편향,Historical and demographic bias embedded in training data,"The risk that corpora carrying historical and societal bias, stereotypical content, and an overrepresentation of Western and English-speaking populations are used to pretrain and fine-tune models, which absorb those patterns. Outputs then show bias across race, gender, culture, age, and disability, harming underrepresented users in high-stakes domains such as healthcare, hiring, and lending."
G_INT_REPR,Representational Harm and Stereotyping,G_INT_REPR_011,연령 기반 적대·차별적 표상,Hostile and discriminatory representations based on age,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on age, undermining dignity and fair treatment."
G_INT_REPR,Representational Harm and Stereotyping,G_INT_REPR_012,장애 기반 적대·차별적 표상,Hostile and discriminatory representations based on disability,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on disability, undermining dignity and fair treatment."
G_INT_REPR,Representational Harm and Stereotyping,G_INT_REPR_013,학력 기반 적대·차별적 표상,Hostile and discriminatory representations based on educational background,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on educational background, undermining dignity and fair treatment."
