L3_ID,L3_Title_en,L4_ID,Title_ko,Title_en,Definition_en
G_INT_PRIV,Privacy Violation,G_INT_PRIV_001,AI 기반 대량 감시와 불법적 대중 감시,AI-enabled mass and unlawful public surveillance,"The risk that an AI system persistently collects, combines, or infers identity, location, behavioural, or communications data at scale, or identifies, tracks, or monitors individuals without a lawful basis, necessity, or proportionality, infringing privacy, personal data rights, and anonymity."
G_INT_PRIV,Privacy Violation,G_INT_PRIV_002,알고리즘 작업장 감시·통제,Algorithmic workplace surveillance and control,"The risk that AI-mediated monitoring, performance scoring, and managerial control intensify workplace surveillance, degrading workers' autonomy, privacy, bargaining power, and ability to contest managerial decisions."
G_INT_PRIV,Privacy Violation,G_INT_PRIV_003,생체인식 식별·추적에 의한 프라이버시 침해,Biometric identification and tracking privacy harms,"The risk that face, voice, gait, and other biometric AI systems enable intrusive identification and tracking, while unresolved questions about what biometric data are stored, for how long, under whose ownership, and with what access compound the privacy harm."
G_INT_PRIV,Privacy Violation,G_INT_PRIV_005,개인정보 수집 제한 우회,Circumvention of restrictions on personal-data collection,"The risk that AI-system developers circumvent legal restrictions on acquiring personal data or adopt collection practices without a lawful basis or valid consent, infringing privacy and informational self-determination."
G_INT_PRIV,Privacy Violation,G_INT_PRIV_007,맥락적 개인정보 보호 및 대화 프라이버시 실패,Contextual privacy and conversational data protection failure,"The risk that an AI system misjudges appropriate information flows or a data subject's reasonable expectations in privacy-sensitive contexts or conversations, or elicits, infers, or outputs more personal data than necessary, exposing contextually protected information beyond the data subject's control."
G_INT_PRIV,Privacy Violation,G_INT_PRIV_008,애플리케이션 간 데이터 유출,Cross-application data exfiltration,"The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which an agent bridges applications or services in ways that leak sensitive data across trust boundaries."
G_INT_PRIV,Privacy Violation,G_INT_PRIV_009,산출물을 통한 개인 민감정보의 노출·재식별,Exposure and re-identification of sensitive personal information through outputs,"The risk that an AI system discloses sensitive personal information in its outputs or infers, reconstructs, or re-identifies protected attributes from multiple sources, infringing personal data protection and the data subject's control."
G_INT_PRIV,Privacy Violation,G_INT_PRIV_010,사생활·평판 정보 노출,Exposure of information about private life and reputation,"The risk that an AI system generates content or makes decisions or takes actions that expose information about a person's private life or reputation, or facilitates or supports such exposure, thereby infringing privacy and informational self-determination."
G_INT_PRIV,Privacy Violation,G_INT_PRIV_012,AI를 이용한 개인정보 도용과 착취,Identity and personal data exploitation using AI,"The risk that an AI system unlawfully acquires, combines, or uses identity information or personal data, causing impersonation, exploitation, or privacy infringement."
G_INT_PRIV,Privacy Violation,G_INT_PRIV_013,재산 정보·개인정보·사적 사실의 부당한 노출,"Improper exposure of property information, personal information, and private facts","The risk that an AI system exposes property information, personal information, or private facts during interaction, inference, or output without the data subject's consent, proper authority, or another lawful basis, infringing privacy, the secrecy and freedom of private life, and informational self-determination."
