L3_ID,L3_Title_en,L4_ID,Title_ko,Title_en,Definition_en
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_001,적대적 입력 교란,Adversarial input perturbation,"The risk that small, often human-imperceptible perturbations to text, image, audio, or video inputs exploit how a model makes decisions, causing misclassification, malfunction, or unsafe behaviour."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_002,AI 소프트웨어·학습 데이터의 적대적 변조,Adversarial modification of AI software and training data,"The risk that an insider or attacker modifies an AI system's software, source code, or training data without authorisation or injects malicious information, compromising security, adversarial robustness, and safeguards and causing harmful outputs or actions."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_004,신뢰할 수 없는 외부 지시·의도에 의한 에이전트 목표 탈취,Agent goal hijacking through untrusted external instructions and intent,"The risk that an AI agent incorporates instructions or expressed intent from user input, external content, tool responses, or other actors into its goals or plans without validating authority and provenance, causing action that departs from the original task and safety constraints."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_005,에이전트 신원 및 권한 스푸핑,Agent identity and authority spoofing,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which an attacker impersonates a user, tool, service, or peer agent so that an agent accepts unauthorised instructions or trust relationships."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_006,에이전트 메모리·맥락 오염,Agent memory and context poisoning,"The risk that the goal pursuit, planning, tool use, or action of an AI agent creates a condition in which an adversary corrupts an agent's retained or retrievable context, whether session summaries, embeddings, RAG entries, shared contextual state, or long-term cross-session memory, so that poisoned records persist and bias later retrieval, reasoning, planning, and action toward malicious or misleading information."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_009,추가 모달리티로 인한 공격 표면 확대,Attack-surface expansion from additional modalities,"The risk that additional modalities introduce new attack vectors in multimodal models and expand the scope of previous attacks ranging from jailbreaking to poisoning, as differing robustness levels across modalities let malicious actors choose the most vulnerable part of the model to attack."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_010,프록시 목표 최적화를 통한 탈옥 자동 탐색,Automated discovery of jailbreaks through proxy-objective optimisation,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which jailbreak attacks are discovered by performing manual or automated, gradient-based or gradient-free adversarial optimisation against a proxy objective noisily correlated with jailbreak success."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_011,백도어 트리거에 의한 위험한 로봇 행동,Backdoor triggers causing unsafe robot behaviour,"The risk that a trigger maliciously implanted in training data, prompt context, model weights, software, or updates causes a robot that otherwise behaves normally to execute predefined dangerous or unintended physical actions under specific input or physical conditions."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_012,GPAI 모델의 백도어 또는 트로이 목마 공격,Backdoors or trojan attacks in GPAI models,"The risk that backdoors inserted into GPAI models during training or fine-tuning, by the model provider or another actor manipulating training data or software infrastructure, are exploited during deployment to control model outputs in a targeted way with high success rate and minimal overhead."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_014,기반 모델 취약성에 기인한 인프라 공통 원인 장애,Common-mode infrastructure failure from underlying model vulnerabilities,"The risk that vulnerabilities or robustness issues in the underlying model architecture or training setup produce common-mode failures across critical infrastructure relying on GPAI, triggered accidentally in edge cases or by adversarial inputs."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_015,로봇 군집의 동시 침해,Compromise of robot fleets,"The risk that attackers exploit vulnerabilities in cloud services, software updates, APIs, or orchestration layers to cause simultaneous unauthorised access to, manipulation of, or disruption of multiple AI-enabled robots, vehicles, drones, or industrial systems."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_016,핵심 기반시설 로봇 시스템의 사이버 침해,Cyber compromise of robotic systems in critical infrastructure,"The risk that attackers exploit software or network vulnerabilities in robotic inspection, maintenance, logistics, or control systems used in critical infrastructure, causing unauthorised access, manipulation, or disruption and thereby impairing operations or damaging equipment."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_017,대규모 사이버범죄 오용,Cybercrime misuse at scale,"The risk that malicious actors jailbreak generative models to produce sensitive or harmful content and generate persuasive, individually tailored material, conducting cybercrime efficiently at scale and reduced cost."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_018,데이터 오염 공격,Data poisoning,"The risk that attackers manipulate training, fine-tuning, or retrieval data to alter model behaviour."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_019,제3자 시스템 교란,Disruption of third-party systems,"The risk that generative AI facilitates the damage, disruption, or destruction of a third-party system and its components via malfunction, cyberattacks, and similar means."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_020,GPAI 모델의 손쉬운 재구성,Easy reconfiguration of GPAI models,"The risk that GPAI models are easily reconfigured for various use cases or hold competencies beyond their intended use, whether by changing model weights through fine-tuning or by modifying only the model inputs through prompt engineering, jailbreaking, or retrieval-augmented generation, and whether intentionally with adversarial inputs or unintentionally from unanticipated inputs."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_021,에너지·지연 유발 공격,Energy-latency attacks,"The risk that attackers use adversarial inputs, including sponge examples engineered to incur abnormally high processing costs, to increase an AI system's latency and energy consumption, exhaust computational resources, and impair service availability."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_023,에이전트 인터페이스의 공격 표면 확대,Expanded attack surface in agent interfaces,"The risk that vulnerabilities or excessive privileges in interfaces connecting AI agents to browsers, operating systems, mobile applications, IoT devices, or external APIs create attack vectors through which attackers bypass safeguards, gain unauthorised access, cause manipulation or disruption, or induce unsafe actions."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_025,안전 미세조정 일반화 격차 악용,Exploitation of safety-fine-tuning generalisation gaps,"The risk that safety tuning performed over a much narrower distribution than pretraining leaves the model vulnerable to attacks exploiting gaps in the generalisation of safety training, such as encoded text or low-resource languages."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_026,안전장치 우회를 통한 금지 정보 노출,Exposure of prohibited information through safeguard bypass,"The risk that attackers use jailbreaks or adversarially crafted instructions to bypass an AI model's safeguards and elicit prohibited outputs, gaining access to illegal or unethical information."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_027,이상 조건에서의 성능·견고성·복원력 실패,"Failure of performance, robustness, and resilience under adverse conditions","The risk that an AI system fails to fulfil its intended purpose and cannot maintain stable performance, or recover, when inputs are disturbed by malicious attack, data poisoning, environmental noise, or failures in connected components. Unreliable models and error-prone agents remain in operation, producing severe consequences for those who depend on them."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_028,무제한 접근을 통한 범용 AI 고영향 오용,High-impact misuse of general-purpose AI through unrestricted access,The risk that malicious actors gain unrestricted or unmonitored access to general-purpose AI systems and exploit their broad capabilities to cause large-scale harm.
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_029,외부 도구 연동을 통한 유해 콘텐츠 유입,Ingestion of harmful content through external tool integration,"The risk that an AI system or AI algorithm, through design, training, deployment, or use, creates a condition in which growing integration and interconnectivity with external tools and plugins exposes a system to malicious external inputs that introduce harmful content."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_031,복잡한 신경망 모델의 내재적 견고성 부족,Intrinsic robustness weaknesses of complex neural models,"The risk that high-complexity, non-linear models such as deep neural networks exhibit weaknesses not found in other types of systems, leaving them susceptible to changing operational environments and to malicious interference and inducement. Performance degrades and decision errors follow, undermining functional safety and trustworthiness above all in safety-critical deployments."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_033,로봇 탈옥에 의한 유해 물리적 행동,Jailbreaking robots into harmful physical action,"The risk that an attacker uses physical-task framing or jailbreaking inputs to bypass a robot's safeguards and induce it to plan or execute harmful physical actions against people, animals, or property."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_034,샌드박스 우회에 의한 격리 통제 상실,Loss of isolation control through sandbox escape,The risk that an AI system or its executed code bypasses sandbox isolation boundaries and gains unauthorised access to protected resources or external systems.
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_038,다단계 탈옥,Multi-step jailbreaks,"The risk that the design, training, deployment, or use of an AI system or AI algorithm creates a condition in which multi-step jailbreaks, constructing well-designed scenarios across a series of conversations through request contextualising or external assistance, guide LLMs to generate harmful or sensitive content step by step."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_042,사용자 질의에 내포된 잠재적 유해 콘텐츠,Potentially harmful content embedded in user queries,"The risk that users deliberately or inadvertently embed potentially harmful content in queries in ways that are difficult to detect, influencing an AI model to generate harmful outputs, including disguised biased opinions."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_043,위임 에이전트 공격에 의한 정보 탈취·행위 조작,Principal-information theft and action manipulation through attacks on delegate agents,"The risk that AI agents acting as delegates of humans or organisations become a novel attack surface, letting attackers extract private information about their principals, manipulate agents into undesired actions, subvert overseer agents, thwart cooperation, or leak information enabling collusion."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_044,프롬프트 주입 및 시스템 지시문 유출,Prompt injection and leakage of system instructions,"The risk that untrusted content, supplied directly by a user or indirectly through retrieved pages, documents, and tool outputs, carries hidden instructions that a model executes as if authorised, because system instructions and user data are not architecturally separated. Attackers thereby override intended behaviour and safety constraints, redirect agent tool execution, and recover confidential system prompts, enabling data theft, unauthorised actions, and denial of service."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_046,프로토콜 수준 다중 에이전트 위협,Protocol-level multi-agent threat,"The risk that an AI agent, through goal pursuit, planning, tool use, or action, creates a condition in which the protocols through which agents communicate, delegate, or negotiate create attack surfaces for collusion, spoofing, replay, or privilege escalation."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_048,적대적 역할·역할극 지시에 의한 안전장치 우회,Safeguard bypass through adversarial role and role-play instructions,"The risk that an attacker assigns an AI model a harmful role or adversarial role-play instruction, such as an extremist or racist persona, to bypass safeguards and induce the generation of extremist, racist, or other harmful content."
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_049,페르소나 지정·사회공학 기법에 의한 안전장치 우회,Safeguard bypass through persona assignment and social-engineering tricks,The risk that attackers assign an AI model a specific persona or use social-engineering techniques crafted by humans or other large language models to circumvent safeguards and elicit prohibited outputs or actions.
G_SYS_SECADV,Security and Adversarial Robustness Failure,G_SYS_SECADV_050,악의적 미세조정에 의한 안전장치 무력화,Safeguard compromise through malicious fine-tuning,The risk that malicious actors fine-tune an open-weight AI model at low cost to bypass safeguards and use restrictions and elicit harmful outputs.
