L4_ID,ref_label,ref_url,verified_title,venue_year,seminal(YES/NO),confidence(HIGH/MED),title_fix_ko,def_fix_ko,note
G_INT_REPR_002,"West, Whittaker & Crawford (2019)",https://ainowinstitute.org/publication/discriminating-systems-gender-race-and-power-in-ai-2,"Discriminating Systems: Gender, Race, and Power in AI","AI Now Institute Report, 2019",YES,HIGH,,,연구인력 다양성 결핍이 AI 시스템의 편향 산출로 이어짐을 최초로 체계화한 기관 보고서. 카드 정의와 정면 일치.
G_INT_REPR_006,Keyes (2018),https://doi.org/10.1145/3274357,The Misgendering Machines: Trans/HCI Implications of Automatic Gender Recognition,"Proc. ACM Hum.-Comput. Interact. (CSCW), 2018",YES,HIGH,,,자동 성별 인식 시스템이 논바이너리·트랜스젠더의 자기 정체성 표명 기회를 박탈함을 최초로 명명·분석한 seminal 논문.
G_INT_REPR_007,Sap et al. (2019),https://aclanthology.org/P19-1163/,The Risk of Racial Bias in Hate Speech Detection,ACL 2019,YES,MED,,,콘텐츠 조정(혐오발언 탐지)이 특정 집단(아프리카계 미국인 영어 사용자)의 표현을 불균형적으로 억제·왜곡함을 실증한 대표 논문. 카드는 조정 일반을 다루나 가장 근접한 실증 사례.
G_INT_REPR_009,Gehman et al. (2020),https://arxiv.org/abs/2009.11462,RealToxicityPrompts: Evaluating Neural Toxic Degeneration in Language Models,EMNLP Findings 2020,YES,HIGH,,,생성형 언어모델의 혐오·독성 발화 생성 위험을 정량화한 대표 벤치마크 논문.
G_INT_REPR_010,Bender et al. (2021),https://doi.org/10.1145/3442188.3445922,On the Dangers of Stochastic Parrots: Can Language Models Be Too Big?,FAccT 2021,YES,HIGH,,,학습 데이터의 역사적·인구학적 편향이 대형 언어모델에 흡수·재생산됨을 정면으로 다룬 seminal 논문.
G_INT_REPR_012,Hutchinson et al. (2020),https://arxiv.org/abs/2005.00813,Social Biases in NLP Models as Barriers for Persons with Disabilities,ACL 2020,YES,HIGH,,,장애를 축으로 한 NLP 모델의 적대적·차별적 표상을 정면으로 다룬 대표 논문.
G_INT_REPR_019,"Caliskan, Bryson & Narayanan (2017)",https://doi.org/10.1126/science.aal4230,Semantics derived automatically from language corpora contain human-like biases,Science 2017,YES,MED,,,언어모델 임베딩에 내재된 인종 관련 내재적 편향을 최초로 계량화한 seminal 논문. 카드의 '적대적 표상 생성'보다는 편향 측정에 초점이나 근접 전거.
G_INT_REPR_020,"Abid, Farooqi & Zou (2021)",https://arxiv.org/abs/2101.05783,Persistent Anti-Muslim Bias in Large Language Models,AIES 2021,YES,HIGH,,,종교(이슬람) 기반 적대적·차별적 표상을 정면으로 다룬 seminal 논문.
G_INT_REPR_021,Bolukbasi et al. (2016),https://arxiv.org/abs/1607.06520,Man is to Computer Programmer as Woman is to Homemaker? Debiasing Word Embeddings,NeurIPS 2016,YES,HIGH,,,성별 기반 적대적·차별적 표상(고정관념적 단어 임베딩 편향)을 최초로 명명한 seminal 논문.
G_INT_REPR_023,Buolamwini & Gebru (2018),https://proceedings.mlr.press/v81/buolamwini18a.html,Gender Shades: Intersectional Accuracy Disparities in Commercial Gender Classification,PMLR (FAccT) 2018,YES,HIGH,,,데이터셋 내 집단 불균형이 과소대표 집단에 대한 성능 저하로 이어짐을 실증한 seminal 논문.
G_INT_REPR_026,Gonen & Goldberg (2019),https://arxiv.org/abs/1903.03862,Lipstick on a Pig: Debiasing Methods Cover up Systematic Gender Biases in Word Embeddings But do not Remove Them,NAACL 2019,YES,HIGH,,,완화 조치 이후에도 고정관념 편향이 은폐된 형태로 존속함을 정면으로 입증한 seminal 논문.
G_INT_REPR_027,Zhao et al. (2017),https://arxiv.org/abs/1707.09457,Men Also Like Shopping: Reducing Gender Bias Amplification using Corpus-level Constraints,EMNLP 2017,YES,HIGH,,,모델이 학습 데이터의 편향을 반복 학습하며 증폭시키는 현상('bias amplification')을 정의한 seminal 논문.
G_INT_REPR_028,"Nadeem, Bethke & Reddy (2021)",https://arxiv.org/abs/2004.09456,StereoSet: Measuring Stereotypical Bias in Pretrained Language Models,ACL 2021,YES,HIGH,,,사전학습 언어모델의 집단 고정관념 재현·강화를 측정하는 대표 벤치마크 seminal 논문.
G_INT_REPR_029,Blodgett et al. (2020),https://aclanthology.org/2020.acl-main.485/,"Language (Technology) is Power: A Critical Survey of ""Bias"" in NLP",ACL 2020,YES,HIGH,,,NLP에서 '재현적 피해(representational harm)' 개념을 정의·체계화한 seminal 서베이 논문. 카드 정의와 정면 일치.
G_INT_VALUE_001,Kleinberg & Raghavan (2021),https://doi.org/10.1073/pnas.2018340118,Algorithmic monoculture and social welfare,PNAS 2021,YES,HIGH,,,'알고리즘 단일문화(algorithmic monoculture)' 개념을 정립한 seminal 논문. 카드 제목과 정면 일치.
G_INT_VALUE_002,"Davani, Díaz & Prabhakaran (2022)",https://arxiv.org/abs/2110.05719,Dealing with Disagreements: Looking Beyond the Majority Vote in Subjective Annotations,TACL 2022,YES,HIGH,,,주석자 간 불일치를 다수결로 억제하는 관행의 문제를 정면으로 다룬 seminal 논문.
G_INT_VALUE_004,Santurkar et al. (2023),https://arxiv.org/abs/2303.17548,Whose Opinions Do Language Models Reflect?,ICML 2023,YES,HIGH,,,개발자의 정렬 선택이 특정 인구집단의 견해를 편향적으로 반영함을 실증한 대표 논문.
G_INT_VALUE_006,Bommasani et al. (2021),https://arxiv.org/abs/2108.07258,On the Opportunities and Risks of Foundation Models,"Stanford CRFM report / arXiv, 2021",YES,MED,,,소수의 파운데이션 모델이 광범위하게 배포되며 문화·가치의 동질화를 초래할 위험을 명명한 대표 보고서. 포괄적 백서로 이 카드에 특화되지는 않음.
G_INT_VALUE_007,Joshi et al. (2020),https://arxiv.org/abs/2004.09095,The State and Fate of Linguistic Diversity and Inclusion in the NLP World,ACL 2020,YES,MED,,,NLP 자원의 언어·문화적 표집 불균형을 정량화한 대표 논문.
G_INT_VALUE_010,Denton et al. (2021),https://arxiv.org/abs/2112.04554,Whose Ground Truth? Accounting for Individual and Collective Identities Underlying Dataset Annotation,arXiv preprint 2021,YES,MED,,,주석자의 편향된 선호가 '중립적' 정답으로 고착되는 과정을 정면으로 비판한 논문.
G_INT_VALUE_014,Sorensen et al. (2024),https://arxiv.org/abs/2402.05070,A Roadmap to Pluralistic Alignment,"ICML 2024 / arXiv 2024",YES,MED,,,정렬 과정에서 다수·지배적 가치가 소수 가치를 배제하는 구조적 문제를 다룬 대표 로드맵 논문.
G_INT_VALUE_019,Sorensen et al. (2024),https://arxiv.org/abs/2402.05070,A Roadmap to Pluralistic Alignment,"ICML 2024 / arXiv 2024",YES,HIGH,,,다원적 선호를 단일 목적함수로 집계하는 과정의 실패를 정면으로 다룬 seminal 로드맵 논문.
G_INT_VALUE_024,Skalse et al. (2022),https://arxiv.org/abs/2209.13085,Defining and Characterizing Reward Hacking,NeurIPS 2022,YES,MED,,,프록시 목적함수 최적화가 원래 의도한 가치로부터 시스템을 이탈시키는 현상('reward hacking')을 정의한 대표 논문.
G_SYS_CONTEXT_010,Shi et al. (2023),https://arxiv.org/abs/2302.00093,Large Language Models Can Be Easily Distracted by Irrelevant Context,ICML 2023,YES,HIGH,,,프롬프트 내 무관한 정보로 인한 모델 성능 저하를 정면으로 다룬 seminal 논문. 카드 제목과 정면 일치.
P_SYS_STATE_006,Cadena et al. (2016),https://arxiv.org/abs/1606.05830,"Past, Present, and Future of Simultaneous Localization and Mapping: Toward the Robust-Perception Age",IEEE Transactions on Robotics 2016,YES,MED,,,SLAM/위치추정 오차 누적 문제를 정리한 대표 서베이 논문.
G_INT_POL_001,Ferrara et al. (2016),https://arxiv.org/abs/1407.5225,The Rise of Social Bots,Communications of the ACM 2016,YES,HIGH,,,소셜봇을 이용한 자동화된 정치적 영향 공작을 정면으로 다룬 seminal 논문.
