L4_ID,ref_label,ref_url,verified_title,venue_year,seminal(YES/NO),confidence(HIGH/MED),title_fix_ko,def_fix_ko,note
P_SYS_CONTROL_016,"Yin et al., SafeAgentBench",https://arxiv.org/abs/2412.13178,SafeAgentBench: A Benchmark for Safe Task Planning of Embodied LLM Agents,arXiv 2024 (cs.CR/cs.RO),NO,HIGH,,,"First comprehensive benchmark explicitly testing embodied LLM agents' rejection of explicit and implicit hazardous instructions; direct topical match."
P_SYS_CONTROL_032,ISO 13482:2014,https://www.iso.org/standard/53820.html,"ISO 13482:2014 — Robots and robotic devices: Safety requirements for personal care robots",ISO 2014,YES,HIGH,,,"The standard itself is the object the card describes (names hazards for personal-care robots without exhaustive measurable pass/fail thresholds, as ISO notes for impact/pain limits in its own scope text)."
G_SYS_MISINFO_002,"Sharma et al., Towards Understanding Sycophancy",https://arxiv.org/abs/2310.13548,Towards Understanding Sycophancy in Language Models,arXiv 2023 (cs.CL),NO,MED,,,"Closest major empirical study of models reinforcing prior (including erroneous) conversational positions; mechanism is sycophancy to stated views rather than pure self-consistency-seeking, so fit is partial."
G_SYS_MISINFO_003,"Lazaridou et al., Mind the Gap",https://arxiv.org/abs/2102.01951,Mind the Gap: Assessing Temporal Generalization in Neural Language Models,NeurIPS 2021 (Spotlight),NO,HIGH,,,"Directly demonstrates and measures the degradation of LM answer accuracy over time as world knowledge shifts beyond the training period."
G_SYS_MISINFO_011,"Maynez et al., On Faithfulness and Factuality",https://arxiv.org/abs/2005.00661,On Faithfulness and Factuality in Abstractive Summarization,ACL 2020,YES,HIGH,,,"Seminal paper establishing the faithfulness/factuality distinction and large-scale human evaluation methodology for unfaithful generation, the direct basis of the 'faithfulness error' concept."
G_SYS_MISINFO_013,"Pan et al., On the Risk of Misinformation Pollution",https://arxiv.org/abs/2305.13661,On the Risk of Misinformation Pollution with Large Language Models,EMNLP 2023 (Findings),NO,HIGH,,,"Directly studies how small amounts of LLM-generated false information injected into retrieval-augmented QA pipelines degrade output correctness."
G_SYS_MISINFO_017,"Huang et al., Survey on Hallucination in LLMs",https://arxiv.org/abs/2311.05232,"A Survey on Hallucination in Large Language Models: Principles, Taxonomy, Challenges, and Open Questions",ACM Transactions on Information Systems 2023/2024,NO,HIGH,,,"Major taxonomy paper that explicitly names knowledge-boundary gaps (long-tail/incomplete training knowledge vs. input demands) as a root cause of hallucination."
G_SYS_MISINFO_021,"Goldstein et al., Generative Language Models and Automated Influence Operations",https://arxiv.org/abs/2301.04246,Generative Language Models and Automated Influence Operations: Emerging Threats and Potential Mitigations,"OpenAI/Stanford Internet Observatory/Georgetown CSET report, 2023",NO,HIGH,,,"Foundational cross-institutional report analysing how generative language models lower cost/skill barriers for large-scale disinformation and influence-operation production."
G_INT_COPY_002,"Henderson et al., Foundation Models and Fair Use",https://arxiv.org/abs/2303.15715,Foundation Models and Fair Use,arXiv 2023 (cs.CY),NO,HIGH,,,"Widely cited legal-technical analysis of copyright risk in training data and generated outputs of foundation models, directly on point."
G_INT_COPY_003,"Samuelson, Generative AI Meets Copyright",https://doi.org/10.1126/science.adi0656,Generative AI meets copyright,Science 2023,NO,MED,,,"High-profile Science article on copyright infringement risk from generative AI training/outputs; covers copyright specifically, not trademark or patent, so only partially matches the card's three-IP-regime scope."
G_INT_COPY_004,"Carlini et al., Extracting Training Data from Large Language Models",https://arxiv.org/abs/2012.07805,Extracting Training Data from Large Language Models,USENIX Security 2021,YES,HIGH,,,"Seminal training-data-extraction attack paper demonstrating that LLMs can memorize and regurgitate verbatim non-public/sensitive text from training data."
G_INT_ANTH_001,"Abercrombie et al., Mirages",https://arxiv.org/abs/2305.09800,Mirages: On Anthropomorphism in Dialogue Systems,EMNLP 2023,NO,MED,,,"General survey of linguistic anthropomorphism cues in dialogue systems and resulting overtrust; covers the broader anthropomorphism phenomenon rather than the ethical-judgement facet specifically."
G_INT_ANTH_002,"Abercrombie et al., Mirages",https://arxiv.org/abs/2305.09800,Mirages: On Anthropomorphism in Dialogue Systems,EMNLP 2023,NO,HIGH,,,"Directly discusses how dialogue systems are designed/perceived to convey emotion, empathy, and relational capacity beyond their actual nature, and the resulting user harms."
G_SYS_OVERCONF_002,"Kadavath et al., Language Models (Mostly) Know What They Know",https://arxiv.org/abs/2207.05221,Language Models (Mostly) Know What They Know,arXiv 2022 (cs.CL),NO,HIGH,,,"Directly studies models' self-evaluation, calibration, and honesty, i.e., the gap between confident assertion and actual validity that the card describes."
G_SYS_OVERCONF_003,"Buçinca et al., To Trust or to Think",https://arxiv.org/abs/2102.09692,To Trust or to Think: Cognitive Forcing Functions Can Reduce Overreliance on AI in AI-assisted Decision-making,CHI/CSCW (PACM HCI) 2021,NO,HIGH,,,"Foundational HCI study establishing and measuring overreliance on AI recommendations without independent scrutiny; directly on point for epistemic overreliance."
G_SYS_OVERCONF_004,"Kadavath et al., Language Models (Mostly) Know What They Know",https://arxiv.org/abs/2207.05221,Language Models (Mostly) Know What They Know,arXiv 2022 (cs.CL),NO,MED,,,"Same calibration/self-knowledge study as OVERCONF_002; relevant to confidence expressed despite uncertainty, though the paper's focus is on models' own self-evaluation rather than user-facing confidence signalling."
G_SYS_OVERCONF_005,"Hendrycks & Gimpel, Baseline for Detecting OOD Examples",https://arxiv.org/abs/1610.02136,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,ICLR 2017,YES,HIGH,,,"Classic seminal paper establishing the out-of-distribution/misclassified-input detection problem and showing neural networks produce high-confidence errors on such inputs."
A_SYS_AUTH_001,"Hardy, The Confused Deputy",https://doi.org/10.1145/54289.871709,The Confused Deputy,ACM SIGOPS Operating Systems Review 1988,YES,HIGH,,,"Seminal paper coining the 'confused deputy' problem explicitly named in the card's definition, describing how a privileged program can be tricked into misusing its authority."
A_SYS_AUTH_002,"Hadfield-Menell et al., The Off-Switch Game",https://arxiv.org/abs/1611.08219,The Off-Switch Game,IJCAI 2017,YES,HIGH,,,"Foundational game-theoretic formalisation of an AI agent's incentive to resist or permit being shut down, the origin of the corrigibility framing referenced by the card."
A_SYS_AUTH_003,"Chan et al., Harms from Increasingly Agentic Algorithmic Systems",https://arxiv.org/abs/2302.10329,Harms from Increasingly Agentic Algorithmic Systems,FAccT 2023,NO,HIGH,,,"Directly analyses how novel affordances (e.g., tool use, self-replication, autonomous action) increase algorithmic agency and amplify the scope/consequences of failures."
A_SYS_AUTH_005,"Fang et al., LLM Agents can Autonomously Exploit One-day Vulnerabilities",https://arxiv.org/abs/2404.08144,LLM Agents can Autonomously Exploit One-day Vulnerabilities,arXiv 2024 (cs.CR),NO,HIGH,,,"Empirically demonstrates LLM agents autonomously chaining and executing real-world CVE exploitation steps, the exact capability described by the card."
A_SYS_AUTH_006,"Kinniment et al., Evaluating Language-Model Agents on Realistic Autonomous Tasks",https://arxiv.org/abs/2312.11671,Evaluating Language-Model Agents on Realistic Autonomous Tasks,METR/ARC Evals report 2023,YES,HIGH,,,"Origin of the 'autonomous replication and adaptation' (ARA) evaluation concept: agents acquiring resources, replicating, and evading constraints beyond authorised bounds."
A_SYS_AUTH_012,"Amodei et al., Concrete Problems in AI Safety",https://arxiv.org/abs/1606.06565,Concrete Problems in AI Safety,arXiv 2016 (cs.AI),YES,HIGH,,,"Seminal AI-safety agenda paper defining 'safe exploration' as a core problem: exploratory actions by a learning agent that can cause irreversible harm before consequences are known."
A_SYS_AUTH_016,"Omohundro, The Basic AI Drives",https://doi.org/10.1201/9781351251389-3,The Basic AI Drives,"AGI-08 (2008); reprinted in Artificial Intelligence Safety and Security, 2018",YES,MED,,,"Seminal paper originating the argument that sufficiently advanced AI systems will exhibit convergent self-preservation, resource-acquisition, and self-protective drives; cited DOI is for the 2018 reprint collection rather than the original 2008 AGI proceedings."
A_SYS_AUTH_017,"Wei et al., Emergent Abilities of Large Language Models",https://arxiv.org/abs/2206.07682,Emergent Abilities of Large Language Models,TMLR 2022,NO,MED,,,"Widely cited paper establishing that LLM capabilities can appear unpredictably with scale; the card's post-deployment/multi-agent framing is broader than this paper's scaling-focused scope."
A_SYS_AUTH_023,"Ruan et al., Identifying the Risks of LM Agents with an LM-Emulated Sandbox",https://arxiv.org/abs/2309.15817,Identifying the Risks of LM Agents with an LM-Emulated Sandbox,arXiv 2023 (cs.AI) / ToolEmu,NO,HIGH,,,"Directly builds a benchmark and evaluator for unsafe or out-of-scope tool use by LM agents and the resulting financial, privacy, and safety consequences."
A_SYS_AUTH_024,"Amodei et al., Concrete Problems in AI Safety",https://arxiv.org/abs/1606.06565,Concrete Problems in AI Safety,arXiv 2016 (cs.AI),YES,HIGH,,,"The card's language ('failures of safe exploration and under distributional shift') maps almost directly onto two of this paper's five named concrete problems."
A_SYS_TRACE_002,"Matthias, The Responsibility Gap",https://doi.org/10.1007/s10676-004-3422-1,"The responsibility gap: Ascribing responsibility for the actions of learning automata",Ethics and Information Technology 2004,YES,HIGH,,,"Seminal paper coining the 'responsibility gap' concept for autonomous/learning systems whose harmful actions cannot be clearly attributed to any human or institution."
