L4_ID,ref_label,ref_url,verified_title,venue_year,seminal(YES/NO),confidence(HIGH/MED),title_fix_ko,def_fix_ko,note
G_INT_PRIV_007,Nissenbaum 2004,https://digitalcommons.law.uw.edu/wlr/vol79/iss1/10,Privacy as Contextual Integrity,Washington Law Review 79(1) 2004,YES,HIGH,,,"Coined 'contextual integrity' as the theoretical basis for judging appropriate information flows; directly matches card's use of 'appropriate information flows' and 'reasonable expectations.'"
G_INT_PRIV_009,Carlini et al. 2021,https://arxiv.org/abs/2012.07805,Extracting Training Data from Large Language Models,USENIX Security 2021 / arXiv:2012.07805,YES,HIGH,,,"Seminal demonstration that LLM outputs can disclose/reconstruct memorized PII from training data, matching 'discloses sensitive personal information in its outputs.'"
G_INT_PRIV_015,Carlini et al. 2021,https://arxiv.org/abs/2012.07805,Extracting Training Data from Large Language Models,USENIX Security 2021 / arXiv:2012.07805,YES,HIGH,,,"Same seminal paper, directly on point for memorization and leakage of personal data ingested during training."
G_INT_PRIV_016,Carroll et al. 2020,https://doi.org/10.5334/dsj-2020-043,The CARE Principles for Indigenous Data Governance,Data Science Journal 19 2020,YES,HIGH,,,"Foundational statement of Indigenous data sovereignty principles (Collective Benefit, Authority to Control, Responsibility, Ethics) directly matching the card's definition."
G_INT_PRIV_025,Shokri et al. 2017,https://arxiv.org/abs/1610.05820,Membership Inference Attacks against Machine Learning Models,IEEE S&P 2017 / arXiv:1610.05820,YES,HIGH,,,"Seminal paper establishing the membership-inference attack paradigm underlying re-identification and inference of undisclosed information from model outputs."
G_INT_UNETH_008,Gray et al. 2018,https://doi.org/10.1145/3173574.3174108,The Dark (Patterns) Side of UX Design,ACM CHI 2018,YES,HIGH,,,"Widely cited HCI paper that formalised the taxonomy of 'dark patterns' used to covertly manipulate user behaviour, matching the card's definition closely."
G_INT_UNETH_012,Hackenburg et al. 2025,https://doi.org/10.1126/science.aea3884,The levers of political persuasion with conversational artificial intelligence,Science 390(6777) 2025,NO,HIGH,,,"Large-scale (N=76,977) experimental study of 19 LLMs' persuasive power on 707 political issues, directly evidencing large-scale persuasion capability including shifting beliefs and reduced factual accuracy."
G_INT_UNETH_029,Sharma et al. 2023,https://arxiv.org/abs/2310.13548,Towards Understanding Sycophancy in Language Models,arXiv:2310.13548 (2023),YES,HIGH,,,"Empirically demonstrates and names the sycophancy behaviour described in the card: models flatter users and reconfirm mistaken beliefs rather than correcting them."
G_SOC_CULT_001,Risko & Gilbert 2016,https://doi.org/10.1016/j.tics.2016.07.002,Cognitive Offloading,Trends in Cognitive Sciences 20(9) 2016,YES,HIGH,,,"Seminal review paper that coined and framed 'cognitive offloading' as reduction of internal cognitive processing by relying on external tools/aids."
G_SOC_CULT_010,Bakshy et al. 2015,https://doi.org/10.1126/science.aaa1160,Exposure to ideologically diverse news and opinion on Facebook,Science 348(6239) 2015,NO,MED,,,"Major empirical study on algorithmic curation reducing exposure to cross-cutting content, evidencing erosion of shared information exposure underlying the card; card is broader than this single-platform study."
G_SOC_CULT_016,Shumailov et al. 2023/2024,https://arxiv.org/abs/2305.17493,The Curse of Recursion: Training on Generated Data Makes Models Forget,arXiv:2305.17493; Nature 631 (2024),YES,HIGH,,,"Seminal paper that named and formalised 'model collapse' from recursive training on synthetic/model-generated content, directly matching the card."
G_SYS_CONTEST_002,Green 2022,https://arxiv.org/abs/2109.05067,The Flaws of Policies Requiring Human Oversight of Government Algorithms,Computer Law & Security Review 45 (2022) / arXiv:2109.05067,NO,HIGH,,,"Directly evidences that mandated human review of algorithmic decisions functions as a nominal 'rubber stamp' rather than substantive oversight."
G_SYS_CONTEST_004,Citron 2008,https://openscholarship.wustl.edu/law_lawreview/vol85/iss6/2/,Technological Due Process,Washington University Law Review 85(6) 2008,YES,MED,,,"Seminal law-review article establishing the 'technological due process' framework for procedural protections (notice, explanation, appeal) against automated decision systems; matches the card's core concern."
A_INT_CASCADE_005,Kirilenko et al. 2017,https://doi.org/10.1111/jofi.12498,The Flash Crash: High-Frequency Trading in an Electronic Market,Journal of Finance 72(3) 2017,NO,MED,,,"Definitive empirical account of the 2010 Flash Crash and high-frequency-trading dynamics underlying algorithmic financial-system instability; card is broader (covers foundation-model concentration) than this single-event study."
A_INT_CASCADE_009,Kirilenko et al. 2017,https://doi.org/10.1111/jofi.12498,The Flash Crash: High-Frequency Trading in an Electronic Market,Journal of Finance 72(3) 2017,NO,HIGH,,,"Primary scholarly account of the 2010 flash crash explicitly cited by the card as an example of runaway feedback-loop dynamics."
P_SYS_HARDWARE_003,Ziegler & Lanford 1979,https://doi.org/10.1126/science.206.4420.776,Effect of Cosmic Rays on Computer Memories,Science 206(4420) 1979,YES,HIGH,,,"Seminal physics paper originating the cosmic-ray-induced bit-flip mechanism named explicitly in the card's definition."
